Month,Hydro
1930-01,18.633
1930-02,25.542
1930-03,38.681
1930-04,39.615
1930-05,30.724
1930-06,58.276
1930-07,29.053
1930-08,14.64
1930-09,17.953
1930-10,6.315
1930-11,2.5
1930-12,3.03
1931-01,1.725
1931-02,1.962
1931-03,5.465
1931-04,3.795
1931-05,9.316
1931-06,44.826
1931-07,70.736
1931-08,50.744
1931-09,18.916
1931-10,48.224
1931-11,9.996
1931-12,6.003
1932-01,3.993
1932-02,7.872
1932-03,28.685
1932-04,62.212
1932-05,39.87
1932-06,24.664
1932-07,86.848
1932-08,24.494
1932-09,20.445
1932-10,11.015
1932-11,3.568
1932-12,1.821
1933-01,34.801
1933-02,59.324
1933-03,13.875
1933-04,22.087
1933-05,17.726
1933-06,51.112
1933-07,74.587
1933-08,17.16
1933-09,7.617
1933-10,2.478
1933-11,37.01
1933-12,48.28
1934-01,17.585
1934-02,22.654
1934-03,25.089
1934-04,38.199
1934-05,9.146
1934-06,44.004
1934-07,65.893
1934-08,18.604
1934-09,7.929
1934-10,5.833
1934-11,5.578
1934-12,20.162
1935-01,16.254
1935-02,31.573
1935-03,39.559
1935-04,48.535
1935-05,16.594
1935-06,65.016
1935-07,50.744
1935-08,35.651
1935-09,7.221
1935-10,41.994
1935-11,5.38
1935-12,2.86
1936-01,11.214
1936-02,80.788
1936-03,31.035
1936-04,30.837
1936-05,13.507
1936-06,153.364
1936-07,62.75
1936-08,12.346
1936-09,4.304
1936-10,1.467
1936-11,6.088
1936-12,4.417
1937-01,14.3
1937-02,38.256
1937-03,35.255
1937-04,66.318
1937-05,30.412
1937-06,25.514
1937-07,78.636
1937-08,33.017
1937-09,30.497
1937-10,12.176
1937-11,14.98
1937-12,18.944
1938-01,23.022
1938-02,26.561
1938-03,30.639
1938-04,35.17
1938-05,42.787
1938-06,39.247
1938-07,37.208
1938-08,20.898
1938-09,18.548
1938-10,22.002
1938-11,43.042
1938-12,66.969
1939-01,14.838
1939-02,30.582
1939-03,59.182
1939-04,18.661
1939-05,60.825
1939-06,62.92
1939-07,65.27
1939-08,10.562
1939-09,4.021
1939-10,2.973
1939-11,1.809
1939-12,2.05
1940-01,10.506
1940-02,29.251
1940-03,23.503
1940-04,10.874
1940-05,9.798
1940-06,39.021
1940-07,151.92
1940-08,24.664
1940-09,14.385
1940-10,7.476
1940-11,2.566
1940-12,7.023
1941-01,5.918
1941-02,26.306
1941-03,47.119
1941-04,23.361
1941-05,15.999
1941-06,27.411
1941-07,71.897
1941-08,14.102
1941-09,5.097
1941-10,3.766
1941-11,11.667
1941-12,2.815
1942-01,2.455
1942-02,8.127
1942-03,21.521
1942-04,19.256
1942-05,16.084
1942-06,66.205
1942-07,46.241
1942-08,48.195
1942-09,27.071
1942-10,9.26
1942-11,7.249
1942-12,9.515
1943-01,21.379
1943-02,37.038
1943-03,54
1943-04,36.331
1943-05,51.848
1943-06,78.551
1943-07,54.114
1943-08,82.572
1943-09,24.437
1943-10,4.757
1943-11,4.219
1943-12,1.869
1944-01,11.525
1944-02,39.304
1944-03,14.328
1944-04,7.589
1944-05,13.96
1944-06,58.191
1944-07,57.37
1944-08,25.23
1944-09,11.044
1944-10,4.729
1944-11,3.483
1944-12,6.116
1945-01,7.9
1945-02,18.038
1945-03,28.062
1945-04,32.31
1945-05,29.818
1945-06,124.849
1945-07,37.633
1945-08,48.025
1945-09,31.177
1945-10,21.039
1945-11,12.856
1945-12,27.014
1946-01,45.505
1946-02,57.115
1946-03,21.209
1946-04,35.424
1946-05,15.291
1946-06,76.201
1946-07,16.027
1946-08,64.336
1946-09,34.971
1946-10,8.892
1946-11,10.166
1946-12,4.106
1947-01,7.136
1947-02,7.617
1947-03,10.024
1947-04,43.948
1947-05,21.209
1947-06,59.947
1947-07,79.146
1947-08,68.357
1947-09,25.683
1947-10,37.973
1947-11,12.799
1947-12,6.23
1948-01,2.888
1948-02,24.126
1948-03,14.866
1948-04,6.853
1948-05,35.311
1948-06,115.703
1948-07,65.695
1948-08,51.877
1948-09,26.844
1948-10,13.224
1948-11,5.805
1948-12,2.486
1949-01,3.087
1949-02,14.612
1949-03,36.727
1949-04,66.431
1949-05,43.127
1949-06,33.386
1949-07,32.819
1949-08,30.327
1949-09,8.325
1949-10,3.002
1949-11,4.786
1949-12,4.644
1950-01,5.805
1950-02,16.282
1950-03,43.098
1950-04,50.206
1950-05,26.278
1950-06,69.688
1950-07,85.036
1950-08,29.308
1950-09,18.491
1950-10,9.061
1950-11,13.875
1950-12,16.565
1951-01,5.72
1951-02,38.143
1951-03,68.725
1951-04,49.555
1951-05,64.846
1951-06,58.729
1951-07,61.249
1951-08,13.026
1951-09,7.9
1951-10,22.71
1951-11,13.875
1951-12,8.155
1952-01,11.893
1952-02,54.029
1952-03,43.58
1952-04,58.758
1952-05,34.207
1952-06,59.89
1952-07,61.702
1952-08,32.961
1952-09,14.413
1952-10,13.479
1952-11,4.248
1952-12,7.561
1953-01,2.832
1953-02,6.655
1953-03,47.233
1953-04,51.848
1953-05,46.043
1953-06,54.057
1953-07,55.105
1953-08,51.537
1953-09,8.835
1953-10,3.681
1953-11,3.483
1953-12,5.38
1954-01,4.984
1954-02,15.206
1954-03,42.532
1954-04,27.524
1954-05,60.145
1954-06,38.653
1954-07,48.45
1954-08,40.635
1954-09,13.904
1954-10,4.021
1954-11,2.229
1954-12,6.909
1955-01,4.446
1955-02,52.018
1955-03,41.994
1955-04,25.004
1955-05,31.545
1955-06,78.296
1955-07,43.665
1955-08,16.396
1955-09,20.643
1955-10,3.738
1955-11,43.976
1955-12,8.325
1956-01,57.002
1956-02,45.307
1956-03,18.151
1956-04,20.275
1956-05,26.476
1956-06,73.539
1956-07,134.109
1956-08,29.308
1956-09,21.549
1956-10,7.646
1956-11,3.03
1956-12,23.05
1957-01,14.102
1957-02,18.519
1957-03,49.215
1957-04,32.706
1957-05,22.54
1957-06,37.633
1957-07,59.494
1957-08,35.255
1957-09,8.863
1957-10,4.106
1957-11,2.172
1957-12,1.473
1958-01,2.265
1958-02,6.541
1958-03,45.902
1958-04,22.908
1958-05,13.904
1958-06,32.819
1958-07,144.529
1958-08,48.422
1958-09,20.048
1958-10,9.43
1958-11,5.805
1958-12,9.628
1959-01,23.786
1959-02,46.355
1959-03,23.05
1959-04,41.739
1959-05,20.728
1959-06,42.702
1959-07,72.406
1959-08,19.425
1959-09,5.55
1959-10,2.294
1959-11,2.059
1959-12,1.999
1960-01,21.776
1960-02,72.52
1960-03,56.322
1960-04,36.019
1960-05,43.863
1960-06,29.619
1960-07,95.456
1960-08,25.712
1960-09,31.488
1960-10,10.222
1960-11,5.947
1960-12,49.668
